GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.utils,CodeMetricsCodeQualityConverter,0,7,0,0,0,2,0,2,0,2
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.utils,CodeQualityMetricsConverter.new Object() {...},9,67,0,0,0,3,0,1,0,1
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.utils,CodeQualityMetricsConverter,0,841,3,31,0,159,3,34,0,16
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.utils,CodeQualityDataService,0,93,0,10,0,23,0,9,0,4
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard,Application,30,0,2,0,10,0,6,0,5,0
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.collector,JenkinsCodeQualityCollectorTask,15,361,4,14,2,74,4,23,0,16
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.collector,HttpJenkinsClient,0,204,1,9,0,40,1,10,0,6
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.collector,JenkinsCodeQualityCollectorTask.new Object() {...},5,35,0,0,0,1,0,1,0,1
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.collector,JenkinsCodeQualityCollector,0,59,0,0,0,16,0,3,0,3
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins.model,JenkinsCodeQualityJob,3,59,0,0,2,12,1,4,1,4
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins.model,JenkinsCodeQualityJob.Builder,0,28,0,0,0,10,0,6,0,6
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins,Artifact.Builder,0,19,0,0,0,6,0,4,0,4
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins,JobContainer,0,18,0,0,0,7,0,4,0,4
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins,JenkinsSettings,7,53,0,0,3,20,2,13,2,13
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins,JobContainer.Builder,0,21,0,0,0,6,0,3,0,3
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins,Artifact,0,24,0,0,0,9,0,5,0,5
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins,JenkinsBuild,0,25,0,0,0,9,0,5,0,5
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins,JenkinsJob.Builder,0,36,0,0,0,11,0,6,0,6
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins,JenkinsBuild.Builder,0,26,0,0,0,8,0,4,0,4
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins,JenkinsJob,3,52,0,2,1,15,1,8,1,7
com.capitalone.dashboard:jenkins-codequality,com.capitalone.dashboard.jenkins,JenkinsPredicate,3,43,0,4,1,6,1,9,1,7
