GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,DefaultSonar56Client,76,4,2,0,18,1,3,1,2,1
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,DefaultSonarClient,589,4,40,0,119,1,36,1,15,1
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,SonarCollectorTask,218,440,53,27,44,101,40,19,5,13
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,SonarSettings,29,16,0,0,13,6,8,5,8,5
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,DefaultSonar6Client,380,622,53,35,72,110,43,30,7,21
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,18,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.collector,SonarClientSelector,0,26,0,8,0,4,0,6,0,2
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.model,SonarProject,47,42,10,0,7,10,7,7,2,7
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.model,SonarCollector,0,105,3,3,0,28,3,5,0,5
com.capitalone.dashboard:sonar-codequality-collector,com.capitalone.dashboard.util,SonarDashboardUrl,0,34,0,2,0,10,0,3,0,2
