GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.exception,DataNotFoundException,16,0,0,0,8,0,4,0,4,0
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.exception,ThresholdException,0,18,0,0,0,6,0,3,0,3
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.exception,PropagateScoreException,30,16,0,0,12,6,3,3,3,3
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.widget,BuildWidgetScore,94,368,23,31,17,93,20,17,0,10
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.widget,GithubScmWidgetScore,23,264,10,16,7,64,10,13,0,10
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.widget,DeployWidgetScore,41,306,14,20,13,73,13,14,0,10
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.widget,QualityWidgetScore,72,394,24,18,22,93,20,13,0,12
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.widget,WidgetScoreAbstract,51,249,14,22,19,73,14,15,0,11
com.capitalone.dashboard:score-collector,com.capitalone.dashboard,ApplicationScoreService,46,360,14,22,11,88,13,18,0,13
com.capitalone.dashboard:score-collector,com.capitalone.dashboard,ScoreCalculationUtils,65,569,30,60,24,135,24,38,2,13
com.capitalone.dashboard:score-collector,com.capitalone.dashboard,Constants,3,32,0,0,1,3,1,1,1,1
com.capitalone.dashboard:score-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:score-collector,com.capitalone.dashboard,ScoreSettingsService,318,0,14,0,100,0,20,0,13,0
com.capitalone.dashboard:score-collector,com.capitalone.dashboard,ThresholdUtils.new Object() {...},5,35,0,0,0,1,0,1,0,1
com.capitalone.dashboard:score-collector,com.capitalone.dashboard,ThresholdUtils.new Comparator() {...},43,3,10,0,8,1,7,1,2,1
com.capitalone.dashboard:score-collector,com.capitalone.dashboard,Utils,80,35,16,4,26,7,12,5,3,4
com.capitalone.dashboard:score-collector,com.capitalone.dashboard,ThresholdUtils,212,344,54,34,62,78,40,25,4,13
com.capitalone.dashboard:score-collector,com.capitalone.dashboard,ScoreCalculationUtils.new Object() {...},40,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.collector,ScoreCollectorTask,153,0,8,0,41,0,13,0,9,0
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,18,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.collector,ScoreSettings,111,0,0,0,27,0,18,0,18,0
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.model,ScoreCollector,21,0,0,0,7,0,2,0,2,0
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.model,BuildSearch,72,36,10,2,24,11,22,8,16,8
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.model,IdName,45,15,8,0,11,6,6,3,2,3
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.model,ScoreWeight,52,181,11,1,12,35,13,20,7,20
com.capitalone.dashboard:score-collector,com.capitalone.dashboard.model,ScoreWeight.ProcessingState,9,49,0,0,0,5,2,2,2,2
