GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard,Application,8,0,0,0,3,0,2,0,2,0
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.collector,DefaultGitHubClient,3557,0,371,0,684,0,232,0,41,0
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.collector,CommitPullMatcher,104,9,25,1,27,3,14,1,1,1
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.collector,DefaultGitHubClient.new Object() {...},89,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.collector,GitHubCollectorTask,311,595,19,27,48,109,29,20,13,13
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.collector,RestOperationsSupplier,18,0,0,0,5,0,2,0,2,0
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.collector,GitHubSettings,87,0,0,0,37,0,25,0,25,0
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.model,GitHubRepo,25,62,4,6,7,12,8,8,4,7
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.model,MergeEvent,45,0,0,0,19,0,13,0,13,0
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.model,GitHubParsed,178,0,6,0,29,0,11,0,8,0
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.model,GitHubGraphQLQuery,3,0,0,0,1,0,1,0,1,0
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.model,GitHubRateLimit,8,16,0,0,4,6,2,5,2,5
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.model,CollectionMode,138,0,0,0,13,0,4,0,4,0
com.capitalone.dashboard:github-graphql-scm-collector,com.capitalone.dashboard.model,GitHubPaging,31,0,0,0,13,0,9,0,9,0
